InvoiceNo,Description,OrderValue,Quantity,CustomerID,Country
INV1081,Smartwatch,955.6,5,1868,UK
INV1082,Headphones,1620.25,3,1548,Australia
INV1083,Smartphone,1697.19,9,1677,China
INV1084,Keyboard,775.38,5,1691,USA
INV1085,Laptop,1690.67,9,1210,Brazil
INV1086,Printer,631.09,2,1711,South Africa
INV1087,Monitor,60.0,2,1990,Germany
INV1088,Monitor,311.38,4,1082,USA
INV1089,Mouse,727.25,8,1665,Australia
INV1090,Headphones,1241.78,7,1294,South Africa
INV1091,Keyboard,1735.34,9,1696,Brazil
INV1092,Camera,1563.67,5,1016,Canada
INV1093,Laptop,269.54,1,1118,Germany
INV1094,Keyboard,479.48,3,1693,China
INV1095,Headphones,529.47,4,1828,Canada
INV1096,Camera,832.09,6,1646,UK
INV1097,Headphones,846.72,2,1430,France
INV1098,Keyboard,322.18,4,1028,Germany
INV1099,Smartwatch,1256.77,8,1517,China
INV1100,Mouse,582.13,3,1313,France
INV1101,Headphones,875.27,8,1386,Australia
INV1102,Headphones,328.86,2,1316,India
INV1103,Smartwatch,963.34,3,1701,China
INV1104,Headphones,1367.78,4,1403,India
INV1105,Camera,1229.15,6,1321,USA
INV1106,Smartwatch,1226.38,10,1360,India
INV1107,Mouse,1503.05,3,1819,France
INV1108,Laptop,511.28,5,1987,Canada
INV1109,Tablet,441.58,5,1178,France
INV1110,Smartwatch,1224.16,1,1159,Australia
INV1111,Headphones,1769.26,9,1256,India
INV1112,Tablet,1288.4,2,1486,India
INV1113,Keyboard,1978.09,2,1241,Brazil
INV1114,Laptop,1533.35,9,1318,Australia
INV1115,Smartphone,1413.2,4,1591,UK
INV1116,Laptop,1421.47,9,1776,India
INV1117,Headphones,1822.48,5,1903,India
INV1118,Monitor,582.47,3,1119,UK
INV1119,Headphones,1524.31,1,1511,Canada
INV1120,Camera,738.01,4,1101,France
INV1121,Camera,1184.49,1,1940,South Africa
INV1122,Smartphone,798.06,3,1496,Brazil
INV1123,Smartwatch,541.26,10,1434,South Africa
INV1124,Camera,1427.65,8,1238,South Africa
INV1125,Headphones,676.28,2,1103,China
INV1126,Monitor,1758.2,2,1488,Germany
INV1127,Camera,1575.05,1,1238,India
INV1128,Tablet,1318.15,9,1766,Canada
INV1129,Mouse,1584.88,8,1726,India
INV1130,Tablet,1611.17,9,1705,Canada
INV1131,Mouse,762.68,8,1436,UK
INV1132,Keyboard,216.57,9,1164,Brazil
INV1133,Monitor,1650.58,9,1020,France
INV1134,Monitor,1876.76,2,1204,Canada
INV1135,Smartphone,698.07,9,1589,UK
INV1136,Keyboard,1931.51,6,1656,UK
INV1137,Monitor,1965.8,4,1538,France
INV1138,Laptop,1338.67,9,1059,China
INV1139,Keyboard,814.16,10,1951,South Africa
INV1140,Laptop,210.67,3,1204,Brazil
INV1141,Camera,831.69,7,1039,USA
INV1142,Monitor,1779.82,2,1161,USA
INV1143,Smartphone,1827.38,7,1794,Australia
INV1144,Laptop,940.64,3,1613,UK
INV1145,Tablet,333.9,5,1017,South Africa
INV1146,Mouse,231.7,9,1373,South Africa
INV1147,Laptop,416.74,7,1670,USA
INV1148,Camera,137.07,4,1095,France
INV1149,Camera,1732.5,6,1789,Germany
INV1150,Smartphone,1608.92,10,1499,France
INV1151,Smartwatch,998.65,8,1671,India
INV1152,Smartwatch,1248.05,7,1947,Brazil
INV1153,Camera,1591.34,3,1251,USA
INV1154,Smartphone,1382.08,5,1775,France
INV1155,Laptop,1274.6,1,1916,Brazil
INV1156,Mouse,102.34,4,1630,India
INV1157,Laptop,531.03,4,1375,France
INV1158,Smartphone,227.22,9,1760,India
INV1159,Mouse,1250.32,2,1882,Germany
INV1160,Printer,364.09,3,1432,USA
INV1161,Camera,578.76,3,1503,USA
INV1162,Printer,1216.05,1,1812,Brazil
INV1163,Laptop,685.75,6,1032,Germany
INV1164,Keyboard,656.95,6,1561,UK
INV1165,Smartphone,1371.23,5,1538,Australia
INV1166,Camera,239.67,8,1090,China
INV1167,Tablet,93.92,9,1257,China
INV1168,Monitor,1592.21,2,1789,UK
INV1169,Mouse,205.01,4,1439,Brazil
INV1170,Smartwatch,1928.09,7,1961,India
INV1171,Smartwatch,1509.51,10,1023,USA
INV1172,Keyboard,1506.25,10,1832,UK
INV1173,Keyboard,1379.06,9,1142,Germany
INV1174,Smartphone,848.45,6,1786,USA
INV1175,Keyboard,434.03,4,1301,India
INV1176,Smartphone,1626.65,6,1180,USA
INV1177,Keyboard,754.17,3,1998,Germany
INV1178,Laptop,1432.71,7,1910,South Africa
INV1179,Laptop,1695.16,2,1227,France
INV1180,Keyboard,587.57,1,1755,Australia
INV1181,Keyboard,117.6,7,1226,UK
INV1182,Tablet,1589.26,4,1798,Australia
INV1183,Headphones,1971.63,6,1541,Canada
INV1184,Printer,1147.82,9,1162,China
INV1185,Mouse,273.54,1,1435,Canada
INV1186,Laptop,490.81,10,1732,France
INV1187,Smartphone,1577.5,1,1247,Canada
INV1188,Smartphone,123.28,4,1388,Brazil
INV1189,Camera,754.35,2,1031,Germany
INV1190,Laptop,1310.78,9,1374,Australia
INV1191,Mouse,1978.32,10,1722,India
INV1192,Laptop,1323.53,10,1769,Brazil
INV1193,Keyboard,1697.96,3,1872,Australia
INV1194,Printer,1443.82,3,1063,South Africa
INV1195,Monitor,426.42,10,1687,South Africa
INV1196,Tablet,1623.01,8,1385,South Africa
INV1197,Smartwatch,927.68,7,1643,South Africa
INV1198,Tablet,1309.27,10,1754,Australia
INV1199,Tablet,1812.88,8,1597,China
INV1200,Smartwatch,1997.81,6,1465,UK
INV1201,Smartphone,1081.5,4,1497,Germany
INV1202,Smartphone,523.26,7,1061,Australia
INV1203,Printer,1031.46,9,1365,India
INV1204,Laptop,1092.96,9,1944,Australia
INV1205,Tablet,777.48,8,1172,Australia
INV1206,Monitor,1174.54,4,1369,South Africa
INV1207,Tablet,275.42,3,1824,Brazil
INV1208,Mouse,561.42,9,1523,Brazil
INV1209,Keyboard,1103.95,9,1588,Germany
INV1210,Tablet,1337.27,6,1636,UK
INV1211,Smartwatch,1938.47,7,1831,China
INV1212,Smartwatch,498.62,10,1728,Brazil
INV1213,Headphones,1799.0,5,1462,Australia
INV1214,Keyboard,1667.23,10,1426,UK
INV1215,Monitor,545.22,10,1786,China
INV1216,Keyboard,1106.21,10,1415,India
INV1217,Printer,1010.83,3,1940,South Africa
INV1218,Monitor,1150.67,6,1251,Brazil
INV1219,Camera,1088.03,6,1951,China
INV1220,Laptop,1455.42,9,1239,Canada
INV1221,Printer,1423.49,5,1254,Germany
INV1222,Smartphone,900.92,8,1107,South Africa
INV1223,Headphones,540.68,2,1280,Germany
INV1224,Smartphone,377.63,2,1578,UK
INV1225,Laptop,485.21,5,1509,India
INV1226,Headphones,271.93,6,1300,Australia
INV1227,Smartphone,1651.83,10,1850,France
INV1228,Printer,1934.34,2,1251,Australia
INV1229,Printer,962.88,7,1939,Germany
INV1230,Camera,1446.11,1,1765,Australia
INV1231,Printer,1903.12,4,1807,India
INV1232,Laptop,880.8,7,1752,Germany
INV1233,Headphones,413.8,2,1236,Canada
INV1234,Mouse,840.14,8,1881,USA
INV1235,Smartwatch,1816.47,7,1369,USA
INV1236,Mouse,1822.02,10,1783,USA
INV1237,Printer,1330.54,9,1869,France
INV1238,Camera,858.02,1,1852,Australia
INV1239,Mouse,897.03,7,1011,China
INV1240,Tablet,1412.43,3,1306,Australia
INV1241,Camera,1272.8,7,1235,France
INV1242,Keyboard,1452.47,5,1515,Canada
INV1243,Smartphone,61.59,10,1174,USA
INV1244,Monitor,54.88,10,1125,Australia
INV1245,Headphones,1836.26,6,1435,Australia
INV1246,Smartphone,170.17,1,1921,France
INV1247,Printer,497.86,10,1940,France
INV1248,Smartwatch,657.57,8,1446,China
INV1249,Printer,1392.62,8,1134,India
INV1250,Headphones,1419.67,9,1086,Australia
INV1251,Camera,790.87,4,1785,Canada
INV1252,Printer,752.24,7,1000,Brazil
INV1253,Monitor,1670.94,3,1358,Germany
INV1254,Monitor,1140.34,1,1228,USA
INV1255,Smartwatch,1160.1,3,1783,UK
INV1256,Headphones,744.96,9,1850,Brazil
INV1257,Printer,248.49,1,1493,China
INV1258,Smartwatch,418.06,1,1486,Brazil
INV1259,Printer,247.51,5,1746,Australia
INV1260,Monitor,1225.43,2,1274,South Africa
INV1261,Tablet,836.47,3,1314,India
INV1262,Tablet,498.85,10,1335,France
INV1263,Smartphone,1073.6,1,1972,China
INV1264,Laptop,1807.05,8,1996,Germany
INV1265,Smartphone,1183.32,5,1223,India
INV1266,Laptop,1636.32,2,1382,USA
INV1267,Keyboard,1040.88,1,1592,UK
INV1268,Tablet,1216.83,7,1935,USA
INV1269,Tablet,1372.0,6,1051,USA
INV1270,Mouse,223.86,2,1057,France
INV1271,Smartwatch,1509.97,2,1035,Australia
INV1272,Smartwatch,1805.36,4,1818,China
INV1273,Smartwatch,1300.95,2,1496,Canada
INV1274,Smartwatch,1083.39,7,1768,UK
INV1275,Camera,1239.36,8,1197,USA
INV1276,Camera,1732.23,3,1819,Australia
INV1277,Headphones,994.54,4,1376,Brazil
INV1278,Headphones,554.77,7,1482,UK
INV1279,Mouse,1079.26,1,1409,Germany
INV1280,Tablet,1272.86,7,1437,USA
INV1281,Smartphone,1829.36,6,1716,Australia
INV1282,Smartphone,727.02,2,1623,Germany
INV1283,Smartphone,1210.34,3,1653,Canada
INV1284,Printer,311.8,3,1366,France
INV1285,Smartphone,781.27,10,1300,Brazil
INV1286,Laptop,64.42,9,1112,China
INV1287,Tablet,120.66,4,1218,France
INV1288,Headphones,1611.34,9,1180,UK
INV1289,Printer,1828.27,1,1336,India
INV1290,Mouse,1527.88,6,1250,France
INV1291,Smartwatch,1649.0,5,1678,South Africa
INV1292,Tablet,1614.11,3,1787,India
INV1293,Monitor,1568.34,1,1354,Brazil
INV1294,Tablet,1797.61,8,1887,Brazil
INV1295,Tablet,547.61,2,1332,India
INV1296,Monitor,1475.89,3,1072,South Africa
INV1297,Monitor,1065.08,10,1362,China
INV1298,Laptop,322.22,3,1417,France
INV1299,Tablet,952.89,6,1309,India
INV1300,Laptop,1951.24,4,1670,India
INV1301,Headphones,1741.89,9,1383,South Africa
INV1302,Monitor,1052.4,10,1008,Brazil
INV1303,Smartphone,878.4,6,1362,China
INV1304,Laptop,756.08,4,1974,Germany
INV1305,Printer,888.04,4,1572,Canada
INV1306,Headphones,440.57,7,1818,France
INV1307,Smartphone,1995.84,3,1242,Australia
INV1308,Headphones,1650.85,2,1885,South Africa
INV1309,Smartphone,1521.28,9,1573,Canada
INV1310,Printer,1407.01,6,1768,UK
INV1311,Keyboard,1115.25,10,1728,India
INV1312,Smartphone,581.03,9,1703,China
INV1313,Monitor,682.17,7,1621,India
INV1314,Headphones,1389.07,4,1321,Canada
INV1315,Camera,365.39,1,1219,China
INV1316,Smartphone,1699.26,9,1033,Brazil
INV1317,Keyboard,1816.55,2,1393,France
INV1318,Camera,900.5,3,1493,India
INV1319,Smartphone,1098.6,3,1457,China
INV1320,Keyboard,1303.41,5,1500,Brazil
INV1321,Smartphone,873.46,7,1418,South Africa
INV1322,Smartphone,1819.32,7,1779,India
INV1323,Printer,504.66,4,1751,Australia
INV1324,Monitor,237.26,6,1169,India
INV1325,Monitor,1669.6,10,1961,South Africa
INV1326,Tablet,1637.56,4,1950,USA
INV1327,Smartphone,1679.34,8,1494,France
INV1328,Smartphone,558.05,6,1434,UK
INV1329,Headphones,1138.36,10,1808,South Africa
INV1330,Laptop,473.31,10,1000,China
INV1331,Camera,1274.13,10,1119,South Africa
INV1332,Headphones,384.89,5,1392,China
INV1333,Tablet,733.56,4,1312,UK
INV1334,Smartphone,1907.05,5,1795,China
INV1335,Keyboard,1532.23,5,1822,Canada
INV1336,Tablet,809.22,3,1299,France
INV1337,Mouse,1195.25,1,1250,Australia
INV1338,Monitor,1644.04,5,1176,Australia
INV1339,Headphones,1430.15,7,1401,China
INV1340,Camera,1987.06,9,1175,South Africa
INV1341,Camera,1780.43,6,1672,China
INV1342,Keyboard,1207.92,1,1961,South Africa
INV1343,Tablet,1896.87,2,1911,France
INV1344,Smartphone,975.84,10,1542,France
INV1345,Smartwatch,111.71,1,1132,China
INV1346,Keyboard,337.06,8,1307,China
INV1347,Headphones,713.08,6,1249,Brazil
INV1348,Printer,276.91,2,1430,UK
INV1349,Headphones,486.89,8,1775,South Africa
INV1350,Mouse,1915.31,9,1979,India
INV1351,Monitor,1189.56,2,1210,China
INV1352,Monitor,1425.01,9,1362,India
INV1353,Laptop,676.36,4,1061,Australia
INV1354,Smartphone,1048.02,6,1687,India
INV1355,Smartphone,1906.02,3,1705,UK
INV1356,Tablet,1499.01,2,1277,France
INV1357,Laptop,1842.62,1,1028,Germany
INV1358,Laptop,1723.7,1,1662,France
INV1359,Laptop,1072.59,7,1709,China
INV1360,Printer,742.67,4,1747,USA
INV1361,Printer,1931.33,7,1155,Canada
INV1362,Headphones,269.61,8,1676,Australia
INV1363,Keyboard,950.06,2,1826,Brazil
INV1364,Tablet,938.55,9,1218,UK
INV1365,Smartphone,561.83,5,1057,Canada
INV1366,Tablet,72.72,1,1219,France
INV1367,Mouse,963.3,1,1315,Australia
INV1368,Smartwatch,1811.56,1,1940,Germany
INV1369,Laptop,147.62,8,1392,China
INV1370,Camera,296.65,4,1061,France
INV1371,Camera,1042.87,2,1596,China
INV1372,Camera,1627.27,3,1665,India
INV1373,Printer,1844.55,2,1785,UK
INV1374,Printer,423.6,2,1927,Brazil
INV1375,Laptop,581.22,4,1449,Brazil
INV1376,Laptop,1427.33,7,1877,Canada
INV1377,Monitor,1044.02,4,1657,South Africa
INV1378,Headphones,386.29,4,1167,France
INV1379,Smartwatch,529.84,5,1175,Australia
INV1380,Monitor,1247.79,9,1577,UK
INV1381,Tablet,1447.81,9,1081,Germany
INV1382,Printer,607.74,3,1977,Germany
INV1383,Monitor,1701.93,8,1957,Australia
INV1384,Tablet,1320.63,10,1799,China
INV1385,Tablet,1847.66,3,1922,UK
INV1386,Printer,1124.86,8,1762,China
INV1387,Laptop,1110.41,9,1352,China
INV1388,Mouse,1009.91,8,1905,Brazil
INV1389,Smartphone,1310.02,7,1120,Australia
INV1390,Mouse,800.68,10,1509,Germany
INV1391,Printer,1921.38,10,1407,France
INV1392,Smartphone,763.6,8,1742,China
INV1393,Camera,1887.74,10,1507,USA
INV1394,Headphones,1962.9,2,1472,USA
INV1395,Smartphone,750.42,6,1797,India
INV1396,Smartwatch,1427.85,1,1283,Germany
INV1397,Laptop,225.73,7,1987,Brazil
INV1398,Tablet,302.61,2,1336,South Africa
INV1399,Smartwatch,120.37,4,1446,France
INV1400,Tablet,627.46,7,1248,France
INV1401,Keyboard,441.0,10,1382,Canada
INV1402,Tablet,1689.67,1,1552,Brazil
INV1403,Laptop,786.39,8,1953,France
INV1404,Laptop,1331.57,10,1647,India
INV1405,Headphones,67.49,1,1078,China
INV1406,Mouse,1371.05,3,1422,Germany
INV1407,Keyboard,1954.98,6,1018,UK
INV1408,Monitor,1229.23,5,1414,India
INV1409,Keyboard,892.25,7,1304,Brazil
INV1410,Mouse,263.04,6,1391,UK
INV1411,Keyboard,1846.95,7,1130,China
INV1412,Camera,169.23,10,1010,China
INV1413,Tablet,1546.93,4,1709,France
INV1414,Smartwatch,871.92,6,1647,Canada
INV1415,Smartphone,1621.21,4,1311,Canada
INV1416,Mouse,223.8,4,1885,UK
INV1417,Mouse,1653.95,8,1168,USA
INV1418,Smartphone,1179.64,3,1509,South Africa
INV1419,Monitor,1592.5,4,1052,Canada
INV1420,Monitor,1345.86,8,1394,USA
INV1421,Laptop,1452.27,2,1373,Australia
INV1422,Camera,1992.72,2,1872,Australia
INV1423,Smartphone,1130.86,9,1394,India
INV1424,Monitor,198.92,8,1410,USA
INV1425,Headphones,483.94,3,1202,Brazil
INV1426,Smartwatch,1111.79,3,1650,Brazil
INV1427,Smartphone,797.09,10,1410,USA
INV1428,Laptop,1972.88,10,1281,UK
INV1429,Mouse,1099.79,5,1465,Brazil
INV1430,Smartphone,1250.48,6,1223,South Africa
INV1431,Camera,1632.82,6,1939,China
INV1432,Laptop,465.06,10,1703,China
INV1433,Tablet,244.91,8,1702,India
INV1434,Laptop,1027.13,5,1776,USA
INV1435,Headphones,871.65,5,1091,Brazil
INV1436,Smartwatch,901.6,9,1320,France
INV1437,Laptop,1164.3,4,1687,Brazil
INV1438,Keyboard,1798.04,6,1439,China
INV1439,Laptop,1087.83,4,1076,South Africa
INV1440,Printer,100.24,8,1784,USA
INV1441,Camera,79.17,8,1722,UK
INV1442,Tablet,997.11,9,1289,Germany
INV1443,Mouse,1659.72,1,1643,Germany
INV1444,Monitor,1835.9,3,1309,Australia
INV1445,Smartwatch,758.02,3,1370,Germany
INV1446,Headphones,1096.17,6,1065,USA
INV1447,Printer,777.21,1,1475,China
INV1448,Smartphone,1892.25,8,1344,France
INV1449,Camera,866.06,10,1028,UK
INV1450,Smartwatch,303.4,1,1186,China
INV1451,Keyboard,1555.76,4,1480,South Africa
INV1452,Smartphone,1296.79,9,1125,Canada
INV1453,Mouse,311.97,4,1933,China
INV1454,Mouse,1102.65,2,1901,France
INV1455,Headphones,1020.25,9,1208,USA
INV1456,Mouse,1794.93,6,1521,Australia
INV1457,Smartphone,1590.73,3,1575,UK
INV1458,Camera,1394.08,7,1237,India
INV1459,Camera,759.18,5,1865,Canada
INV1460,Keyboard,848.24,10,1846,USA
INV1461,Laptop,1364.87,4,1123,France
INV1462,Tablet,101.01,6,1858,China
INV1463,Keyboard,1711.21,10,1455,Brazil
INV1464,Keyboard,1223.44,1,1885,UK
INV1465,Smartwatch,721.8,4,1865,UK
INV1466,Printer,446.94,2,1900,UK
INV1467,Headphones,500.65,3,1454,USA
INV1468,Laptop,1790.8,7,1600,South Africa
INV1469,Camera,168.26,1,1139,Australia
INV1470,Smartphone,718.29,3,1124,France
INV1471,Keyboard,662.9,9,1159,Germany
INV1472,Printer,1366.97,1,1153,China
INV1473,Keyboard,1082.19,9,1026,India
INV1474,Printer,157.84,2,1756,France
INV1475,Monitor,863.75,1,1803,India
INV1476,Smartwatch,648.64,10,1392,India
INV1477,Laptop,240.34,7,1713,France
INV1478,Camera,1926.63,4,1392,India
INV1479,Smartphone,1500.66,1,1493,Australia
INV1480,Tablet,803.49,10,1089,USA
INV1481,Monitor,1069.38,1,1249,Brazil
INV1482,Monitor,1696.39,2,1375,China
INV1483,Smartphone,381.25,1,1012,UK
INV1484,Laptop,1776.55,2,1753,China
INV1485,Printer,672.75,9,1704,Brazil
INV1486,Laptop,443.6,4,1383,China
INV1487,Smartphone,1480.47,5,1126,Australia
INV1488,Keyboard,304.37,8,1149,China
INV1489,Printer,897.42,10,1439,UK
INV1490,Tablet,1613.91,5,1726,France
INV1491,Headphones,368.65,6,1552,India
INV1492,Headphones,235.41,9,1737,South Africa
INV1493,Monitor,1622.77,3,1591,France
INV1494,Keyboard,1881.66,4,1715,South Africa
INV1495,Tablet,571.36,10,1272,India
INV1496,Smartphone,209.44,1,1832,USA
INV1497,Mouse,1608.42,2,1942,Canada
INV1498,Headphones,1207.41,4,1416,Australia
INV1499,Camera,1369.88,6,1500,USA
